saa_code;saa_xcoord;saa_ycoord
83069005;0;0
71793030;0;0
80014274;0;0
85051128;0;0
83072173;0;0
83086405;0;0
83020115;0;0
80190736;0;0
76011221;0;0
86006551;0;0
10311019;0;0
84843160;0;0
70360701;0;0
80223099;0;0
85080085;0;0
74014829;0;0
80143685;0;0
88241588;0;0
81022251;0;0
80211599;0;0
76016055;0;0
88141598;0;0
84003327;0;0
81011684;0;0
54336529;0;0
54731349;0;0
71791079;0;0
54337527;0;0
71430190;0;0
54339853;0;0
88433070;0;0
10366013;0;0
80130286;0;0
80190462;0;0
74018077;0;0
85074930;0;0
85060194;0;0
71742130;0;0
54567701;0;0
54567594;0;0
80163204;0;0
83072025;0;0
71550111;0;0
10371013;0;0
80014209;0;0
10362012;0;0
10367011;0;0
80100271;0;0
88215350;0;0
10316018;0;0
74019539;0;0
78765081;0;0
80022780;0;0
82001300;0;0
70332502;0;0
70185702;0;0
74019828;0;0
80053835;0;0
20270207;0;0
54340521;0;0
94300070;0;0
74024448;0;0
83045195;0;0
81023390;0;0
80291591;0;0
88942010;765561;2748932
70155507;428584;2729388
82001073;0;0
54558593;0;0
83064048;0;0
80145979;0;0
71203091;0;0
76020057;0;0
86000869;0;0
70153601;0;0
54531145;0;0
70287102;0;0
80240010;0;0
80114728;0;0
81011460;0;0
81021212;0;0
80140186;0;0
71501000;0;0
83117234;0;0
88711002;0;0
74026500;0;0
80022913;0;0
88643452;0;0
83071092;0;0
80154310;0;0
71105000;0;0
83118638;0;0
54530188;0;0
85053058;0;0
88930131;0;0
54340349;0;0
80293035;0;0
87443200;460373;1841665
80153452;0;0
83057000;0;0
74001057;0;0
80142836;0;0
20532804;0;0
80143784;0;0
84000497;0;0
83045161;0;0
71701037;0;0
71654020;0;0
80130633;0;0
87394213;525794;2383653
87545707;546965;2364236
87597005;551381;2201295
87597153;539746;2160347
87597062;573235;2216500
87576363;531720;2237444
87216671;522215;2216536
87465716;535842;2211312
87574343;497745;2269968
87571604;470145;2261093
87280065;505688;2226656
87597435;504807;2229666
87571836;458229;2262259
87571612;463827;2257902
87571885;473889;2262956
87571471;498685;2237594
87575035;472784;2254947
87575050;466480;2236084
87453373;447473;2248952
87574459;491933;2262679
87571240;478339;2266365
87930958;486067;2253930
87574251;526110;2290794
87331397;494813;2323267
87574533;515895;2322011
87574244;530069;2294345
87574319;513289;2277560
87576025;554879;2261935
87574897;527925;2254548
87358564;489153;2326059
87574558;504952;2312183
87543058;566231;2342481
87543371;561891;2321625
87543124;569675;2302466
87684290;622535;2299975
87684274;630020;2317128
87444067;379054;2478907
87337378;422334;2479598
87444406;424290;2480741
87447722;356005;2432040
87444372;436304;2486899
87447144;338118;2458168
87388199;323546;2443841
87674275;323571;2436722
87447003;348951;2463043
87444711;434407;2384019
87394288;489778;2377084
87448001;385918;2420175
87449868;401756;2408362
87391706;444434;2413921
71010074;0;0
80020321;0;0
88926014;0;0
94382994;0;0
83025817;0;0
85040147;0;0
83031229;0;0
10343038;0;0
83050146;0;0
80284034;0;0
55072942;0;0
70210203;0;0
78764126;0;0
83070052;0;0
85032094;0;0
10361014;0;0
83045203;0;0
83067751;0;0
83114595;0;0
71300020;0;0
80067124;0;0
53500173;0;0
79423095;0;0
79432039;0;0
83065060;0;0
83077032;0;0
83027011;0;0
70418103;0;0
83032003;0;0
79440099;0;0
80034793;0;0
51309526;0;0
85000216;0;0
80220277;0;0
80163402;0;0
71312009;0;0
71020024;0;0
85040121;0;0
88815050;0;0
53341016;0;0
81014779;0;0
85016873;0;0
80212134;0;0
54734129;0;0
83047142;0;0
83117812;0;0
80534164;0;0
80014092;0;0
85063131;0;0
83010371;0;0
83071084;0;0
85094060;0;0
71115103;0;0
70669101;0;0
83118505;0;0
80016436;0;0
71792028;0;0
80004940;0;0
80141861;0;0
88215434;0;0
54359851;0;0
79423061;0;0
54346643;0;0
54134437;0;0
84005660;0;0
74039651;0;0
83025049;0;0
80297093;0;0
51005942;0;0
80190926;0;0
72165092;0;0
81010561;0;0
85010629;0;0
85002700;0;0
81010611;0;0
80053827;0;0
80220574;0;0
76007088;0;0
88434068;0;0
85003202;0;0
76013003;0;0
80153387;0;0
70477000;0;0
74038208;0;0
78711044;0;0
56135269;0;0
80290411;0;0
80290775;0;0
81015826;0;0
56152066;0;0
74039040;0;0
51187856;0;0
55137489;0;0
83045062;0;0
70132209;0;0
71715000;0;0
83030015;0;0
51007112;0;0
81011981;0;0
83120147;0;0
55162610;0;0
81036426;0;0
82005207;0;0
85090670;0;0
78762609;0;0
80250969;0;0
80155820;0;0
10003582;0;0
76016311;0;0
10368019;0;0
79443515;0;0
86006015;0;0
56157560;0;0
79423079;0;0
80150359;0;0
85061317;0;0
84003681;0;0
81010439;0;0
81011270;0;0
74021550;0;0
54540146;0;0
88935676;0;0
71543009;0;0
80211631;0;0
74022889;0;0
80194050;0;0
85090027;0;0
81012237;0;0
80297127;0;0
10323014;0;0
83032029;0;0
85001131;0;0
80020800;0;0
83047233;0;0
88121616;0;0
70478404;0;0
51002295;0;0
80231795;0;0
74023259;0;0
83123414;0;0
85013771;0;0
54347252;0;0
85016014;0;0
80081893;0;0
54542126;0;0
88922054;0;0
76007252;0;0
71105031;0;0
80151878;0;0
82001081;0;0
85010355;0;0
71550038;0;0
84840510;0;0
70778704;0;0
82001289;0;0
10325019;0;0
88416651;0;0
21140202;0;0
54730226;0;0
54544510;0;0
85063040;0;0
88121129;0;0
80151654;0;0
88810000;0;0
83047324;0;0
85013003;0;0
80204719;0;0
70481408;0;0
76013524;0;0
81012385;0;0
83117440;0;0
85061093;0;0
84000612;0;0
83071134;0;0
74047183;0;0
80227280;0;0
71020032;0;0
84840660;0;0
74001677;0;0
85015057;0;0
83045336;0;0
74002279;0;0
85050047;0;0
81010546;0;0
20060079;0;0
76005165;0;0
54533992;0;0
81021261;0;0
85070060;0;0
80203471;0;0
80202861;0;0
71612000;0;0
81031443;0;0
85031260;0;0
71112052;0;0
74028522;0;0
83065029;0;0
80011882;0;0
54739250;0;0
80020891;0;0
87448076;408441;2416547
87713545;790911;2227839
87713933;774783;2217037
87541912;0;0
87713040;803355;2261667
87713313;818522;2253407
87713065;786886;2261557
87713131;750301;2292930
87713602;774852;2219452
87713669;817586;2231333
87694489;744726;2250359
87713628;809597;2250847
87478818;0;0
87713099;772301;2279700
87713081;776005;2273599
87691725;717702;2203827
87533547;0;0
87696195;652105;2242584
87696484;686249;2204775
87696229;657073;2224647
87500082;0;0
87696005;661907;2221172
87500793;0;0
87696526;712826;2204987
87696294;659178;2199549
87696203;654463;2235033
87691675;695301;2205517
87605972;0;0
87694612;757110;2190246
87725226;780751;2193089
87606251;0;0
87725390;787933;2147222
87694737;751158;2145000
87605253;0;0
87478693;0;0
87694729;750295;2152777
87536391;0;0
87694653;745710;2177446
87713735;820549;2185252
87739862;780699;2177829
87694182;754355;2205707
87694307;763827;2197700
87725739;785710;2133531
87725267;0;0
87694364;774707;2207886
87694638;752585;2184380
87605394;0;0
87605402;0;0
87683573;693565;2311651
87696856;697759;2282814
70246108;0;0
85015032;0;0
78755603;0;0
79430017;0;0
80143255;0;0
76006130;0;0
87381160;575636;2453680
87276758;595940;2459526
87276501;596437;2457275
87271460;616349;2445737
87982124;0;0
87276600;593124;2446419
87276188;594668;2441318
87276261;613809;2455750
87276220;605827;2444009
87172049;774710;2542916
87112326;804184;2519095
87172064;770586;2545140
87112342;810771;2514940
87172544;744141;2532313
87172395;808645;2516966
87172056;773078;2543656
87172080;765770;2551573
87172114;771058;2567813
87139527;725126;2371919
87118299;776078;2362597
87117903;723582;2356251
87216184;696289;2391427
87117929;726543;2349269
87279950;742913;2363366
87215939;763265;2362571
87214981;737222;2362272
87118190;685547;2389412
87216143;693165;2391623
87139592;704536;2390673
87216010;734742;2364192
87139774;729448;2361013
87118083;719264;2380480
87139501;728064;2368553
87215947;758265;2361970
87279935;752283;2361780
87171579;724801;2453188
87326413;748630;2441746
87171553;718769;2451055
87171587;723130;2460210
87171728;720275;2484509
87417444;773847;2541112
87175216;786480;2411852
87171645;740151;2463221
87171611;737539;2466155
83072264;0;0
88843508;0;0
80144782;0;0
53119065;0;0
80143735;0;0
71115006;0;0
53406843;0;0
83002220;1019606;2022374
71715037;0;0
71654000;0;0
88850010;725955;2692645
85042150;0;0
81036277;0;0
56138669;0;0
80203695;0;0
80251819;0;0
88452030;0;0
83117606;0;0
80293175;0;0
10001354;0;0
54543009;0;0
70315507;0;0
80136226;0;0
84006155;0;0
80291039;0;0
81036186;0;0
54531798;0;0
85062083;0;0
