prefixe;libelle;codeuic;coderesarail;codemnemo;tarentaise;localite;banlieue;pang;bipass;particularites;nrzonebanlieue;indicgp;numdep
0;MENNECY;87681411;FRGLC;MENCY;;0;0;0;0;0;75.0;N;91
0;MENNESSIS;87296434;FRMNS;MENNE;;0;0;0;0;0;0.0;O;2
0;MENNETOU SUR CHER;87576728;FREYV;MENNC;;0;0;0;0;0;0.0;N;41
0;MENTON;87756486;FRXMT;MENTO;;0;0;0;0;0;0.0;N;6
0;MENTON (LOCALITE);6075648;FRAAF;MENTV;;1;0;0;0;0;0.0;N;6
0;MENTON GARAVAN;87756494;FRIAG;MENTG;;0;0;0;0;0;0.0;N;6
4;MENUIRES;99739250;FRIXQ;LMENU;;0;0;0;1;;0.0;N;73
0;MER LOIR ET CHER;87574194;FREUG;MER;;0;0;0;0;0;0.0;N;41
0;MERCUES;87613703;FRFTY;MERCU;;0;0;0;0;0;0.0;N;46
0;MERCUS GARRABET CENTRE;87618348;FRFWZ;MERCG;;0;0;0;0;0;0.0;N;9
5;MERD LA BREUILLE;87483982;FRGWV;FRGWV;;0;0;0;0;0;0.0;N;23
0;MERDRIGNAC;87338061;FRMER;FRMER;;0;0;0;0;0;0.0;N;22
6;MERE;87582353;FRFBV;FRFBV;;0;0;0;0;0;0.0;N;32
0;MEREAU;87309773;FRMRU;FRMRU;;0;0;0;0;0;0.0;N;18
0;MERENS LES VALS;87611525;FRFQH;MEREN;;0;0;0;0;0;0.0;N;9
0;MERENS LES VALS LOC;9061152;FRUSM;FRUSM;;1;0;0;0;0;0.0;N;9
0;MERENS LES VALS VILLAGE;87130849;FRUCS;FRUCS;;0;0;0;0;0;0.0;N;9
0;MERENVIELLE;87611814;FRFRE;MERNV;;0;0;0;0;0;0.0;N;31
0;MERIBEL;99739280;FRIXT;MERIB;;0;0;0;1;;0.0;N;73
0;MERICOURT RIBEMONT;87313064;FRCQN;MERIC;;0;0;0;0;0;0.0;N;80
2;MERIDIEN;87721522;FRHCV;LMERI;;0;0;0;0;0;0.0;N;69
0;MERIEL;87276675;FRCHI;FRCHI;;0;0;0;0;0;75.0;N;95
0;MERIGNAC-ARLAC;87278259;FRODB;FRODB;;0;0;0;0;0;0.0;N;33
0;MERINCHAL;87451831;FRDKX;FRDKX;;0;0;0;0;0;0.0;N;23
0;MERKWILLER PECHELBRONN;87117655;FRAOG;FRAOG;;0;0;0;0;0;0.0;N;67
2;MERLERAULT;87444588;FRDSM;LMERL;;0;0;0;0;0;0.0;N;61
2;MERLERAULT (LOC);61044458;FRDSR;FRDSR;;1;0;0;0;0;0.0;N;61
2;MERLERAULT CENTRE;87391698;FRDSA;FRDSA;;0;0;0;0;0;0.0;N;61
0;MERLETTE;99059290;FRJAP;FRJAP;;0;0;0;1;;0.0;N;5
0;MERREY;87142406;FRMRY;MERRE;;0;0;0;0;0;0.0;O;52
0;MERTEN;87193219;FRALV;MERTE;;0;0;0;0;0;0.0;N;57
0;MERTEN REPUBLIQUE;87477158;FRHSC;FRHSC;;0;0;0;0;0;0.0;N;57
0;MERTZWILLER;87213207;FRBVY;MRTZW;;0;0;0;0;0;0.0;N;67
0;MERTZWILLER (LOCALITE);67021320;FRAEH;MERTZ;;1;0;0;0;0;0.0;N;67
0;MERTZWILLER (MONUMENT MORTS);87406918;FRZDE;FRZDE;;0;0;0;0;0;0.0;N;67
0;MERTZWILLER EGLISE;87215194;FRBZY;FRBZY;;0;0;0;0;0;0.0;N;67
0;MERU;87313668;FRCSA;MERU;;0;0;0;0;0;0.0;N;60
0;MERVANS;87713701;FRGXO;MERVA;;0;0;0;0;0;0.0;N;71
0;MERXHEIM;87182725;FRBLB;MERXH;;0;0;0;0;0;0.0;N;68
0;MERY;87276667;FRCHH;MERY;;0;0;0;0;0;75.0;N;95
0;MERY SUR CHER;87312546;FRMYH;FRMYH;;0;0;0;0;0;0.0;N;18
0;MERY SUR SEINE;87139568;FRMYS;FRMYS;;0;0;0;0;0;0.0;N;10
0;MESGRIGNY;87139550;FRMGY;FRMGY;;0;0;0;0;0;0.0;N;10
5;MESMIN;87118091;FRAPD;MESMI;;0;0;0;0;0;0.0;N;10
5;MESMIN LE VIEUX;87487298;FREKY;SMESM;;0;0;0;0;0;0.0;N;85
0;MESNIERES EN BRAY CENTRE;87419267;FRDQU;FRDQU;;0;0;0;0;0;0.0;N;76
0;MESNIL CLINCHAMPS;87447722;FRDUR;MESNC;;0;0;0;0;0;0.0;N;14
0;MESSAC GUIPRY;87471185;FRDWQ;MESSA;;0;0;0;0;0;0.0;N;35
0;MESSEI CENTRE;87448100;FRDUU;MESSI;;0;0;0;0;0;0.0;N;61
0;MESSEIN;87141499;FRASS;MESSN;;0;0;0;0;0;0.0;N;54
0;MESVES BULCY;87696187;FRGSK;MESVE;;0;0;0;0;0;0.0;N;58
0;MESVRES;87694158;FRGPZ;MESVR;;0;0;0;0;0;0.0;N;71
0;METABIEF;87715268;FRGYW;METAB;;0;0;0;0;0;0.0;N;25
0;METZ;57019203;FRMZM;METZ;;1;0;0;0;0;0.0;N;57
0;METZ NORD;87192070;FRMZN;METZN;;0;0;0;0;0;0.0;N;57
0;METZ VILLE;87192039;FRADE;METZV;;0;0;0;0;2;0.0;O;57
0;METZERAL;87182816;FRBLF;METZL;;0;0;0;0;0;0.0;O;68
