;;;;;;;87177329;420963;1817801;;421463;1819446
;;;;;;;87177352;421463;1819446;;795975;2070407
;;;;;;;87177360;795975;2070407;;431383;1825715
;;;;;;;87177378;431383;1825715;;443609;1836789
;;;;;;;87177402;443609;1836789;;419883;1811405
;;;;;;;87177428;419883;1811405;;442554;1834984
;;;;;;;87177444;442554;1834984;;437918;1832905
;;;;;;;87177485;437918;1832905;;426635;1824522
;;;;;;;87177519;426635;1824522;;564718;1877718
;;;;;;;87177527;564718;1877718;;792178;2069305
;;;;;;;87177576;792178;2069305;;575288;1879723
;;;;;;;87177592;575288;1879723;;555171;1818393
;;;;;;;87177626;555171;1818393;;541420;1828368
